TotalKg,SWR,Equipment,BodyweightKg,Age,Sex
212.5,1.779731993,Raw,119.4,26,M
510,5.666666667,Wraps,90,52,M
70,1.178451178,Raw,59.4,58,F
420,6.156552331,Raw,68.22,22,M
265,2.460538533,Wraps,107.7,56,F
240,3.741231489,Raw,64.15,60,F
277.5,5.462598425,Raw,50.8,26,F
695,6.364468864,Raw,109.2,24,M
280,2.592592593,Raw,108,52,F
312.98,3.824758646,Wraps,81.83,35,F
140,2.509410289,Raw,55.79,22,F
345,4.46313066,Wraps,77.3,16,M
130,1.3,Raw,100,59,M
258.55,3.607506628,Wraps,71.67,33,F
95,1.313969571,Raw,72.3,57,F
165,1.546391753,Raw,106.7,27,M
547.5,6.329479769,Raw,86.5,27,M
61.23,0.798721628,Raw,76.66,15,M
150,1.185302252,Raw,126.55,23,M
170,2.097470697,Raw,81.05,24,M
640,4.275217101,Single-ply,149.7,21,M
142.88,1.4288,Single-ply,100,17,M
420,4.545454545,Wraps,92.4,29,F
525,7,Single-ply,75,37,F
550,6.207674944,Raw,88.6,25,M
382.5,5.141129032,Raw,74.4,36,F
325,5.803571429,Raw,56,24,F
485,4.964176049,Raw,97.7,37,M
75,1.049097776,Raw,71.49,20,F
580,7.072308255,Raw,82.01,32,M
405,6.170958403,Raw,65.63,16,M
212.5,2.202072539,Raw,96.5,45,M
573.79,5.55298558,Wraps,103.33,51,M
400,5.479452055,Raw,73,22,M
712.5,7.146439318,Single-ply,99.7,33,M
452.5,4.074741108,Raw,111.05,27,M
285,4.344512195,Raw,65.6,29,F
255,2.709883103,Raw,94.1,32,F
275,4.621848739,Raw,59.5,24,F
215,2.198588813,Raw,97.79,27,M
280,4.361370717,Raw,64.2,17,F
625,4.657228018,Wraps,134.2,32,M
327.5,3.960096735,Wraps,82.7,21,F
582.49,7.182367448,Single-ply,81.1,26,M
390,5.298913043,Raw,73.6,40,F
577.5,5.492154066,Wraps,105.15,20,M
255,3.350854139,Raw,76.1,40,F
705,7.939189189,Raw,88.8,23,M
756,3.88688946,Wraps,194.5,28,M
278.96,2.999892462,Raw,92.99,62,M
240,4.494382022,Raw,53.4,24,F
742.5,6.887755102,Raw,107.8,33,M
520,5.902383655,Raw,88.1,25,M
662.5,6.879543094,Raw,96.3,20,M
445,7.224025974,Raw,61.6,27,F
187.5,1.258389262,Raw,149,54,M
347.5,4.316770186,Raw,80.5,27,F
149.91,1.588871224,Single-ply,94.35,70,M
62.5,0.916153621,Raw,68.22,51,F
559.99,6.89727799,Wraps,81.19,21,M
330,4.80349345,Raw,68.7,15,M
220,4.731182796,Raw,46.5,34,F
862.5,7.721575649,Single-ply,111.7,23,M
675,6.296641791,Wraps,107.2,27,M
181.44,2.296708861,Raw,79,17,F
190,1.907439012,Raw,99.61,30,M
502.5,6.098300971,Raw,82.4,30,M
