PN,PS,DN,DS
7,6,1,3
18,5,4,6
8,8,2,3
40,22,15,7
13,5,6,2
8,4,0,0
18,4,2,0
7,4,0,0
14,9,2,1
14,21,3,9
13,6,2,2
4,0,0,0
10,2,1,0
11,4,2,0
13,7,1,2
7,1,2,4
4,3,5,2
10,6,1,2
8,7,3,1
13,8,5,1
19,11,4,2
17,7,1,1
8,4,2,0
14,9,2,2
0,0,1,3
10,11,5,4
9,9,4,2
8,4,1,2
17,4,4,3
14,9,3,4
7,4,0,3
0,0,6,5
13,2,2,1
10,5,5,1
23,11,3,0
15,12,1,1
0,0,0,2
19,5,3,2
0,0,4,2
0,0,7,0
6,0,3,1
23,17,4,3
15,7,4,0
3,4,2,3
6,12,2,1
8,10,0,1
8,4,0,3
4,6,2,3
7,4,0,2
7,3,0,0
0,1,1,1
3,3,0,0
23,11,2,1
35,21,2,5
20,36,4,10
8,19,0,8
5,7,3,4
20,16,3,4
5,5,2,1
3,5,0,0
0,2,1,0
11,6,2,3
15,10,2,0
2,3,0,1
7,11,1,4
9,6,2,0
2,5,0,0
2,2,0,3
28,19,0,3
10,2,3,3
12,17,1,3
2,2,0,1
4,11,1,4
4,6,1,1
9,4,0,6
0,0,0,1
17,10,1,5
6,7,0,4
15,9,4,3
4,12,1,2
6,2,3,1
2,2,1,0
5,8,1,0
10,8,0,0
11,7,0,1
10,10,2,0
1,0,0,0
1,13,0,0
5,2,1,3
7,1,1,0
4,11,1,3
2,2,0,1
40,25,4,12
15,7,3,2
19,20,2,2
2,4,3,1
2,2,0,1
56,29,8,3
7,10,0,5
5,5,0,3
1,0,0,0
22,12,9,5
1,2,0,0
24,10,1,1
11,7,0,4
2,3,0,1
13,10,0,2
19,10,4,1
7,5,0,2
19,10,6,1
2,9,0,0
5,3,1,0
26,15,1,5
12,6,4,2
1,4,0,2
12,1,1,2
5,6,1,4
2,6,0,2
9,10,3,3
9,9,1,2
7,1,3,3
71,32,29,21
28,6,12,5
5,2,2,1
15,27,1,1
20,11,2,1
8,3,1,0
15,7,2,2
14,4,1,5
0,2,0,0
0,2,0,0
9,7,1,1
1,4,0,0
6,6,1,0
5,1,6,0
30,22,1,4
12,20,1,4
5,3,0,0
12,4,0,0
12,21,2,2
4,2,0,2
6,9,0,5
11,6,1,3
6,9,0,1
10,7,1,2
20,15,8,6
16,17,2,3
1,3,0,0
10,11,5,3
15,7,1,5
8,7,0,0
37,19,6,5
3,6,0,3
22,12,4,0
66,48,4,12
16,1,6,0
3,4,1,2
2,9,0,1
5,2,2,3
3,2,0,2
7,7,0,4
0,4,0,0
13,12,3,4
15,11,5,0
0,1,0,0
27,16,4,4
12,7,1,1
8,8,6,1
8,5,3,0
10,5,1,0
7,0,4,0
4,3,0,0
10,13,2,3
9,4,2,0
27,29,1,6
6,3,1,3
7,0,3,0
9,6,0,3
5,2,0,1
3,12,0,4
10,9,2,3
6,8,0,3
7,11,1,1
7,3,0,2
3,6,0,4
5,6,0,2
37,13,3,5
2,1,0,0
16,8,2,3
9,2,5,0
37,15,21,7
10,6,0,2
8,5,0,0
5,4,1,2
15,9,2,0
6,1,4,0
0,0,0,1
8,5,1,0
3,3,0,3
3,6,0,3
54,22,2,8
1,1,0,1
1,3,1,1
12,10,0,1
9,10,0,5
45,19,10,2
49,30,13,7
11,16,2,4
34,30,5,8
1,2,0,0
4,2,1,1
5,10,1,1
16,9,1,5
18,11,2,2
27,14,2,0
7,10,1,0
40,21,1,9
2,0,0,2
6,6,0,0
6,4,2,2
21,9,2,2
4,0,0,1
40,58,5,13
20,10,2,3
39,38,9,8
10,10,0,1
8,9,1,0
10,9,1,1
10,17,2,3
11,6,1,3
26,30,0,11
9,2,0,1
5,11,4,2
10,5,1,4
1,0,0,0
28,13,3,3
15,3,1,0
11,13,0,0
8,3,0,1
4,4,0,0
25,7,12,2
11,12,4,0
11,6,4,1
6,5,0,2
6,3,1,1
0,2,0,0
3,2,1,0
23,23,3,4
1,1,1,0
9,7,3,1
13,13,0,2
7,3,3,0
7,8,3,2
2,6,0,0
9,3,3,1
11,9,3,4
3,1,1,0
11,8,0,1
16,12,2,2
2,0,1,0
0,5,0,2
6,3,0,1
0,0,0,2
6,5,2,0
8,10,0,6
42,21,10,6
38,24,3,7
11,2,5,1
19,7,0,3
24,24,3,3
30,16,1,8
10,3,0,0
17,15,7,3
25,6,1,0
1,5,2,2
5,7,0,0
21,8,7,7
4,15,0,5
12,4,3,2
8,4,1,1
1,3,0,0
8,2,1,1
1,2,0,0
4,9,0,2
4,1,2,1
6,0,0,0
2,0,0,1
29,16,4,1
12,2,0,1
0,3,1,0
11,7,6,1
7,6,1,3
2,7,0,1
25,19,3,8
4,4,0,1
4,7,0,1
17,12,0,0
24,11,1,2
15,8,0,0
5,3,1,3
37,18,1,2
12,5,6,2
10,23,0,11
9,9,0,3
3,3,0,2
7,5,1,3
9,11,1,2
24,17,2,3
3,2,2,4
17,5,1,1
11,4,5,1
15,35,0,5
22,42,3,10
37,12,7,5
15,9,2,2
0,2,0,1
16,7,4,0
13,14,1,7
8,1,0,0
13,6,2,3
8,4,0,0
12,4,3,6
12,3,0,0
7,4,0,0
4,9,0,0
7,5,0,1
9,10,2,2
13,4,3,2
12,7,0,2
11,0,0,1
9,5,4,1
4,1,2,0
40,33,2,9
2,6,0,5
16,10,5,1
4,5,0,2
3,5,0,0
7,2,0,1
18,11,2,2
2,3,0,0
16,6,3,2
0,4,1,2
7,5,0,2
7,8,2,0
2,4,0,5
2,0,0,2
15,6,4,1
8,12,0,4
14,11,2,2
1,4,0,0
0,4,0,1
5,6,0,3
3,4,0,1
20,12,8,0
2,4,1,0
7,2,1,0
7,1,2,1
0,1,0,0
1,5,1,2
7,5,0,1
1,1,1,0
16,9,3,0
7,5,0,1
18,12,2,1
6,6,0,1
7,1,1,1
1,3,1,0
4,13,0,3
4,3,0,4
6,1,1,0
14,17,2,3
8,5,1,0
8,5,1,0
2,3,0,0
14,5,2,1
1,4,0,0
11,6,0,3
1,4,0,0
7,5,2,6
5,2,1,2
5,4,2,0
18,6,0,3
2,2,2,0
22,6,10,2
14,12,1,1
14,6,2,1
10,11,1,1
21,12,4,2
1,4,0,0
6,8,1,1
4,1,0,0
19,5,4,0
2,3,0,0
37,19,10,5
77,49,4,10
18,13,0,2
8,10,0,0
3,3,2,2
3,2,0,0
12,5,0,1
14,8,0,5
5,2,1,1
8,2,1,0
3,1,0,1
4,11,0,3
15,11,0,2
10,9,3,3
98,58,22,19
2,1,0,3
4,2,0,0
9,4,6,1
17,12,9,2
5,5,1,1
0,4,0,2
4,5,0,0
11,29,4,3
0,1,1,0
2,1,0,0
0,4,1,1
6,2,0,5
23,10,2,0
19,18,1,2
14,5,1,2
11,6,1,1
10,2,2,2
2,1,0,3
6,5,2,3
16,5,3,1
2,0,0,0
21,9,1,5
19,10,2,1
5,1,0,1
2,0,0,1
4,3,1,2
15,5,2,3
4,3,1,1
6,3,0,1
15,7,2,4
11,4,0,2
10,7,4,2
14,5,2,5
13,16,0,3
2,1,0,0
6,6,0,2
2,1,0,0
7,8,0,0
26,9,8,6
2,2,0,3
8,4,2,0
11,1,1,1
1,6,1,1
3,3,1,0
9,10,0,1
7,23,2,6
3,4,1,0
59,46,13,6
0,2,0,0
14,5,0,2
1,2,0,1
20,10,0,2
10,5,1,1
16,11,1,2
13,6,2,2
9,6,0,0
7,1,3,1
1,8,0,3
12,12,4,5
1,3,0,1
4,1,1,0
3,1,0,0
6,4,1,0
5,1,2,1
5,6,1,1
16,7,1,1
9,3,4,0
8,9,1,1
7,3,7,5
31,28,2,13
16,10,2,6
11,7,0,2
6,2,1,1
3,3,0,0
15,16,3,4
0,4,1,2
0,2,1,2
4,4,1,1
2,5,0,1
4,5,2,3
7,2,4,1
8,2,1,1
14,9,0,2
2,1,0,1
16,5,3,1
7,2,2,0
10,7,2,4
6,4,0,1
1,1,1,1
10,8,1,1
4,3,3,2
15,15,5,6
6,2,1,0
4,9,1,0
0,0,2,0
1,0,3,3
15,6,42,15
1,3,6,8
14,9,6,3
10,7,2,0
5,8,1,4
3,3,0,5
4,4,0,0
13,17,0,12
12,5,1,0
12,4,3,4
7,7,1,3
14,8,0,0
6,3,0,0
3,6,1,3
8,8,1,0
9,4,2,1
3,3,0,1
14,7,1,3
18,9,4,5
7,11,38,13
3,1,1,0
7,13,1,3
24,23,2,4
26,18,4,6
1,2,5,1
19,10,4,7
9,17,0,5
1,0,1,0
3,1,1,0
10,3,0,1
25,13,4,7
10,5,0,2
4,5,1,1
4,2,0,1
5,2,1,3
2,3,2,1
6,3,1,3
3,2,0,0
15,15,2,4
12,9,2,8
17,21,6,7
21,15,0,2
13,11,0,0
1,1,0,0
3,8,1,2
13,13,4,0
0,2,2,0
21,17,3,3
2,5,0,1
6,3,0,1
8,0,1,1
12,4,3,2
10,15,0,6
10,6,2,1
5,8,2,0
11,10,6,0
20,8,4,2
11,6,4,2
6,9,6,2
18,24,1,3
8,8,1,1
13,6,6,3
4,2,2,2
1,7,0,3
4,5,1,1
6,8,1,2
17,24,1,5
6,7,1,2
7,5,5,2
3,8,0,2
1,3,1,0
4,6,1,2
17,8,2,4
4,6,0,3
0,0,16,10
13,3,3,1
6,2,0,3
20,17,6,7
5,5,1,3
61,31,12,10
12,9,3,0
10,13,1,1
21,28,3,2
10,4,1,0
6,10,8,9
0,1,1,0
14,7,11,6
7,3,3,3
20,9,6,3
2,3,0,2
12,18,3,7
33,15,2,1
5,7,0,0
8,10,5,3
2,5,0,2
14,8,5,8
4,5,0,4
16,16,2,7
5,1,0,2
11,6,1,2
15,6,4,1
13,5,4,2
8,2,0,1
2,3,1,1
3,1,0,4
7,3,0,2
5,3,1,1
7,2,0,0
5,7,1,0
29,11,7,7
8,5,0,5
4,1,8,3
4,2,4,3
3,2,0,1
18,14,3,0
11,10,5,1
9,5,1,4
0,3,0,2
1,9,1,4
14,7,7,3
1,8,1,1
18,15,6,4
4,2,3,0
4,2,1,1
6,3,0,2
11,4,0,2
24,13,1,4
7,5,1,1
11,4,1,3
17,7,1,2
5,9,0,1
2,2,0,0
4,7,0,1
28,23,5,9
7,10,0,0
10,18,0,4
5,4,1,1
18,13,2,2
5,5,0,1
11,2,1,2
5,11,0,2
6,10,1,1
12,12,1,0
7,10,0,0
3,10,1,1
14,5,1,4
71,43,8,16
5,10,1,0
14,6,2,4
6,4,1,1
15,16,2,2
1,2,0,1
1,1,0,0
7,13,0,6
24,17,3,4
11,10,0,6
0,0,4,2
0,0,10,6
0,0,6,13
4,3,0,1
10,7,2,2
12,8,4,1
49,18,15,7
0,0,2,1
0,0,2,1
0,0,4,3
30,12,4,5
20,8,12,2
2,4,0,1
4,3,3,1
22,6,11,9
0,0,6,0
0,0,6,0
5,1,5,3
14,9,1,2
3,1,1,0
57,25,6,7
7,13,0,1
2,8,0,0
3,7,1,2
3,5,1,2
27,14,9,5
21,9,1,4
19,10,2,4
16,8,0,1
6,6,1,2
25,31,7,7
15,4,0,1
16,5,0,1
1,3,0,1
36,21,8,5
6,2,1,1
4,6,0,0
2,5,0,0
69,65,11,20
5,6,1,0
6,4,1,1
17,4,1,1
11,11,1,4
3,2,0,1
9,1,0,0
10,10,5,2
10,8,1,2
10,3,2,0
2,3,0,1
8,5,0,1
2,6,0,0
1,1,0,0
6,1,2,2
6,5,1,1
9,1,1,1
37,26,7,9
155,106,21,36
2,2,0,1
2,7,0,4
10,2,0,0
12,11,0,4
7,10,1,4
6,1,1,1
0,0,0,3
5,4,0,1
0,3,0,2
5,3,1,2
12,5,0,3
10,13,6,2
7,3,1,1
7,2,0,3
5,9,0,1
1,5,0,0
11,5,3,2
19,5,3,1
10,17,0,6
4,3,2,1
40,33,9,4
8,8,0,0
24,21,0,6
17,9,1,0
5,3,0,0
49,34,7,1
37,14,6,3
17,9,2,5
3,7,0,0
8,3,4,2
2,2,0,0
2,6,0,2
8,15,1,3
9,11,1,4
2,3,0,2
10,8,0,1
26,10,0,2
4,1,1,0
9,14,1,3
9,8,0,3
9,6,0,3
28,13,6,4
9,4,1,3
11,21,1,8
7,3,0,3
6,13,1,1
33,15,2,6
18,23,1,9
44,21,0,2
45,16,7,9
15,7,26,18
2,6,0,4
1,9,1,1
6,4,0,1
8,5,0,1
111,74,11,19
8,9,0,1
15,5,0,0
13,13,1,3
9,12,0,1
13,3,3,0
3,0,0,0
3,2,0,1
6,7,0,1
1,3,0,1
13,19,2,3
45,23,3,3
5,3,1,2
10,4,0,3
2,4,0,0
6,11,0,5
5,5,1,1
3,6,0,2
10,6,2,0
6,9,1,0
3,2,0,0
3,3,0,1
5,11,1,1
7,1,0,1
2,3,1,3
1,2,0,1
7,4,2,1
21,13,0,4
6,6,1,1
11,20,0,4
16,12,2,2
7,7,2,2
5,15,1,1
6,6,0,0
0,1,0,0
8,3,1,0
14,3,0,0
15,13,3,2
7,9,1,6
13,8,1,3
5,7,3,2
9,4,0,1
0,3,0,0
5,2,0,0
5,6,1,1
8,2,0,5
8,5,0,2
4,2,0,1
6,4,0,0
7,8,3,1
4,5,0,0
8,4,1,0
10,9,1,1
5,4,1,1
6,3,0,0
4,4,1,2
7,4,1,0
3,6,1,2
11,15,4,1
10,20,2,2
5,4,0,2
6,12,1,2
1,1,0,0
6,1,0,0
2,3,0,0
4,2,0,0
90,36,15,24
51,15,9,4
7,5,0,1
6,6,2,0
12,14,3,3
0,2,2,0
10,10,4,5
4,4,0,5
20,9,0,0
28,12,3,2
2,2,1,0
5,5,0,1
18,11,1,4
5,4,0,0
6,12,0,6
4,3,0,0
3,6,0,0
25,10,5,3
22,16,38,17
3,3,1,0
17,16,0,4
11,11,3,4
29,11,1,5
5,5,0,0
2,2,0,0
1,1,2,2
2,0,1,0
17,12,0,2
31,21,0,5
12,13,1,3
10,6,0,1
12,5,0,2
29,14,0,10
5,3,2,2
2,1,0,1
22,5,3,2
9,6,1,1
3,0,0,0
8,5,2,2
9,5,0,1
11,7,1,2
4,2,1,4
1,4,0,3
6,6,0,3
5,6,0,2
6,10,0,2
11,16,0,6
3,3,1,0
12,11,1,3
3,5,0,0
8,6,1,2
113,35,13,12
4,4,2,0
20,31,2,8
23,8,8,4
6,2,2,2
1,2,0,0
11,6,5,3
6,16,2,2
5,16,0,2
2,5,0,1
9,5,1,0
0,1,0,0
0,1,0,0
12,5,3,1
7,1,0,0
8,7,3,1
3,3,0,1
11,13,1,1
5,11,0,4
2,1,1,2
5,6,0,0
5,2,0,2
4,2,1,1
11,9,1,2
17,10,1,0
43,7,4,4
31,13,3,5
3,4,1,4
10,5,2,0
3,0,2,0
9,3,0,2
9,3,2,3
5,3,0,1
2,0,0,0
7,6,5,1
8,9,6,1
6,4,0,2
16,6,3,2
18,12,4,3
3,7,0,1
47,12,14,5
10,7,1,0
9,10,3,3
23,20,1,2
7,4,3,5
3,13,0,5
19,7,6,6
0,1,0,1
7,7,2,1
10,2,1,4
4,11,0,1
6,1,3,4
9,3,0,0
10,8,7,2
47,18,5,11
13,4,2,2
2,4,0,0
13,18,2,4
4,3,0,0
4,1,0,1
4,2,1,2
30,12,6,2
19,14,2,7
12,10,1,2
13,11,1,3
1,4,0,1
7,6,1,1
16,10,12,7
10,3,0,1
19,8,5,1
17,2,3,4
10,4,0,2
12,3,0,1
6,3,0,0
4,2,0,1
6,5,1,3
1,3,0,2
2,10,1,1
10,11,2,5
4,2,0,0
5,4,0,0
12,2,0,1
5,3,0,0
8,3,1,0
6,4,1,1
25,25,1,0
7,8,0,4
21,15,3,4
37,52,4,8
2,0,1,2
14,7,1,6
7,4,0,0
3,1,0,0
7,3,0,1
20,14,7,8
19,10,0,4
7,5,1,0
14,5,3,4
1,2,0,2
18,11,1,1
49,35,5,8
18,9,0,4
43,37,3,16
5,3,1,0
13,9,0,0
7,4,0,1
5,8,1,1
4,8,0,0
17,14,0,4
0,1,0,0
4,0,0,2
1,5,1,0
3,2,0,0
3,2,0,0
7,1,1,1
53,41,4,11
20,5,6,4
6,12,0,0
10,5,5,2
1,3,0,1
13,5,0,4
9,4,0,2
10,8,1,5
4,9,0,2
9,7,3,0
16,9,1,0
5,8,0,2
22,8,4,5
12,6,0,1
1,0,0,2
16,4,3,8
44,19,6,8
6,3,0,1
16,8,4,1
38,16,1,3
26,12,3,4
17,10,0,5
10,11,5,1
5,5,2,2
9,1,0,0
4,7,1,3
2,2,0,0
3,3,0,0
62,41,16,12
4,6,2,0
3,5,4,1
7,2,3,2
17,6,2,2
14,10,0,2
9,6,0,2
0,2,0,2
3,2,0,1
21,12,4,5
8,7,7,0
9,5,3,2
9,13,0,1
70,62,9,14
8,5,0,0
15,14,1,5
15,15,3,4
6,13,1,1
56,41,10,12
8,11,2,0
25,13,7,7
23,32,0,3
7,13,0,6
7,7,2,2
5,2,1,0
5,12,1,1
11,4,0,2
10,3,0,1
9,6,0,4
1,6,1,2
4,6,5,5
5,2,0,2
8,3,0,3
8,5,1,1
9,8,1,0
18,6,2,1
3,6,0,2
35,28,1,7
14,15,2,5
31,19,4,4
7,7,0,1
37,40,4,6
36,26,6,7
10,3,1,0
6,4,1,0
4,5,1,1
5,1,2,0
11,9,4,0
1,0,1,0
11,3,2,2
41,17,8,8
1,5,2,0
16,19,1,4
5,16,1,6
5,0,1,1
9,6,0,1
20,14,0,2
23,8,6,5
21,13,3,2
9,14,6,2
3,5,0,0
8,8,0,3
8,8,1,6
12,3,2,0
1,4,1,1
12,5,1,4
11,7,1,4
16,13,5,1
7,5,2,0
3,3,1,0
0,0,1,2
11,7,0,1
18,7,4,4
1,1,0,1
2,1,0,0
2,3,0,1
3,1,1,0
17,9,2,5
16,9,1,6
17,6,1,1
14,16,2,5
8,8,0,2
15,8,3,0
11,11,2,2
2,2,0,1
7,4,0,1
5,0,0,0
16,16,1,5
0,5,0,1
11,14,3,2
4,2,1,0
19,8,2,3
16,27,0,6
7,7,1,2
18,10,2,3
18,23,1,5
29,16,2,3
2,2,1,4
13,5,2,5
10,4,1,3
18,9,2,4
7,6,1,3
2,1,5,3
68,35,11,6
25,9,13,7
28,24,0,10
2,5,0,0
1,3,0,2
20,26,2,3
0,1,2,1
16,26,3,10
2,4,1,0
13,14,3,1
20,13,1,2
5,7,1,1
4,2,0,0
2,4,0,0
86,81,4,19
4,1,0,1
28,12,10,1
9,6,1,2
26,24,3,3
18,7,17,8
5,4,2,0
2,4,0,1
13,8,1,0
48,35,7,9
21,16,2,6
9,6,2,0
3,11,0,0
6,3,0,1
3,1,1,1
31,27,1,4
23,7,5,3
7,9,0,3
0,1,0,0
24,29,3,7
3,1,1,0
10,10,1,0
4,2,1,1
8,6,2,2
13,8,5,1
22,9,5,1
10,10,4,2
4,8,3,1
5,1,0,2
6,5,0,1
11,15,1,3
33,21,8,13
2,3,2,0
1,12,0,0
9,10,0,3
20,12,4,3
20,33,1,7
10,10,3,2
13,11,3,4
35,35,10,8
6,5,8,1
36,31,14,8
3,4,0,1
39,25,2,6
15,18,2,6
1,1,0,3
41,17,11,2
6,11,1,9
5,7,0,1
7,7,4,7
4,10,0,5
4,4,0,1
1,3,0,1
15,10,3,4
17,7,5,0
8,7,2,3
27,17,4,0
41,15,4,6
20,16,2,1
23,22,2,5
9,3,3,4
5,8,1,1
1,7,0,5
12,6,2,5
13,15,1,3
12,10,1,1
1,2,3,0
15,54,6,18
7,7,0,3
7,17,0,2
8,22,1,6
12,6,1,2
13,4,4,6
10,7,0,0
9,6,3,3
14,4,3,1
11,22,0,4
16,9,1,0
11,11,2,4
2,3,1,1
11,11,3,1
3,3,0,0
7,13,0,2
7,5,2,1
12,3,6,1
2,6,0,0
2,2,0,0
13,9,3,1
24,13,8,2
13,2,3,5
11,5,0,4
3,3,1,1
20,6,4,2
23,9,4,6
6,5,1,4
16,10,3,4
3,5,0,0
29,17,7,9
7,3,0,0
5,0,0,3
22,10,2,1
13,11,3,3
6,2,2,0
6,4,1,1
5,29,1,6
7,11,1,3
5,7,0,5
13,2,4,3
9,6,2,2
8,11,1,3
2,2,0,1
4,5,1,4
12,11,2,2
5,7,1,5
5,6,1,1
3,5,0,1
13,3,0,2
38,18,2,7
3,1,0,0
18,17,3,4
29,25,8,10
6,1,1,0
37,38,3,10
7,2,4,0
3,4,1,1
13,9,0,3
17,11,4,2
2,1,0,0
5,11,1,4
9,8,0,0
19,12,0,4
32,23,2,7
1,10,0,3
2,3,0,3
14,8,3,2
12,10,1,3
6,6,0,2
5,2,2,1
3,7,0,1
8,7,3,4
13,6,0,3
13,10,4,4
12,18,0,3
18,18,4,1
0,1,0,0
11,5,0,2
12,14,2,0
6,4,0,0
9,16,0,7
7,6,0,3
7,10,0,3
23,16,2,3
22,13,5,4
1,4,0,1
12,3,1,1
4,9,0,3
12,7,4,0
5,5,0,0
0,4,0,0
1,2,0,0
1,2,0,1
0,4,1,2
7,5,2,2
4,5,0,2
2,3,0,0
12,16,0,6
10,3,3,2
5,3,0,0
3,0,1,0
0,2,0,1
29,22,6,4
18,14,2,3
9,8,0,1
1,0,0,0
4,2,0,0
9,6,3,0
3,6,0,0
10,11,0,3
14,8,0,2
4,10,0,1
11,20,2,3
31,9,2,2
2,6,0,2
3,3,1,0
2,3,0,0
0,2,1,0
12,8,1,2
10,6,1,0
8,12,0,4
4,5,0,1
16,8,3,0
3,5,4,1
11,10,0,1
26,9,3,4
2,4,0,0
3,4,2,0
10,14,2,4
9,13,0,7
9,10,1,3
11,6,0,1
13,16,1,1
33,46,3,7
5,8,3,1
18,2,2,1
16,7,2,3
47,13,10,6
7,1,2,0
22,20,1,1
3,1,0,0
15,18,3,1
18,17,2,0
47,29,8,10
12,4,0,1
1,6,1,3
4,4,1,2
17,15,1,4
26,11,9,1
19,8,3,2
8,6,0,1
7,6,2,1
39,35,6,10
33,27,5,12
31,26,4,6
7,6,0,1
7,5,0,0
32,21,3,6
7,9,1,2
69,34,6,6
10,7,2,1
4,1,2,1
9,3,0,1
0,1,0,3
13,14,2,5
0,1,0,1
12,3,2,2
2,1,0,0
15,7,7,3
7,3,1,2
1,11,0,1
37,20,3,5
14,24,2,2
5,4,1,1
7,7,2,3
2,5,2,1
0,1,0,1
15,13,5,5
12,14,0,1
16,13,0,2
16,12,2,2
24,8,2,3
5,1,0,2
8,5,2,3
8,7,3,1
13,4,0,0
4,0,0,0
19,15,6,4
15,14,2,1
8,19,3,2
14,8,5,3
9,2,1,0
43,16,7,3
2,1,1,0
15,10,0,1
0,0,5,4
6,1,1,0
7,4,3,0
0,7,0,3
12,4,1,2
14,1,0,0
4,1,0,1
29,16,3,3
3,3,0,1
30,14,6,2
4,6,1,2
6,3,0,3
2,4,0,1
18,7,2,7
14,13,1,5
9,14,1,1
8,5,2,4
12,14,0,3
8,5,2,4
6,0,1,1
4,3,2,1
45,23,3,9
5,5,1,2
11,3,2,0
9,5,1,1
7,4,2,2
14,7,1,0
26,20,4,2
4,1,1,1
14,3,2,1
5,4,0,0
23,21,5,4
4,2,0,0
15,13,2,0
7,1,1,3
7,2,3,2
0,3,0,2
7,8,1,3
4,5,0,0
53,43,11,10
41,16,6,7
23,4,0,1
8,6,2,1
32,21,3,7
15,22,6,10
4,4,1,1
7,10,1,0
12,9,1,2
7,10,1,9
25,11,13,10
3,6,0,2
3,3,1,0
1,0,2,6
2,1,0,0
3,0,0,0
16,3,0,3
33,40,2,7
6,5,1,1
0,1,0,0
14,10,1,3
10,5,2,4
5,3,0,1
7,2,1,6
2,2,1,0
69,33,15,15
7,5,0,2
7,0,0,0
16,3,3,4
50,48,8,10
10,11,3,2
1,3,1,3
10,0,0,0
4,2,0,1
6,1,2,1
2,3,2,2
10,5,3,2
17,6,5,4
4,5,1,2
5,2,1,0
2,3,0,0
4,5,0,1
12,8,2,3
16,13,6,6
40,13,8,8
16,2,1,2
3,7,0,1
4,3,1,0
8,4,5,4
6,3,2,0
6,2,2,1
19,8,1,3
7,3,1,1
0,2,4,1
1,2,0,0
5,7,2,0
2,5,0,0
18,9,3,1
47,28,8,8
9,7,1,0
17,14,4,3
10,5,2,3
19,16,3,4
2,9,1,1
3,2,1,2
15,6,11,4
3,2,2,0
19,10,4,2
6,5,4,3
2,6,0,1
27,19,0,5
0,1,1,1
8,10,1,4
11,10,1,0
3,12,1,2
17,14,2,3
2,3,0,1
15,16,2,4
9,3,0,1
1,4,0,1
6,4,1,1
3,3,0,0
18,9,0,4
3,3,1,0
7,3,2,0
5,7,0,0
2,5,1,2
4,3,1,1
10,11,1,5
9,0,0,0
5,1,0,0
4,0,0,0
9,1,2,1
10,1,1,1
8,10,2,1
15,5,7,1
5,4,3,1
4,3,0,3
6,0,3,1
5,3,2,3
17,4,1,1
16,2,0,3
0,2,1,1
9,6,0,2
9,7,0,3
14,17,3,4
17,19,3,4
4,8,0,5
4,3,1,1
1,2,0,1
14,9,2,1
117,62,11,24
10,10,2,3
7,9,1,2
11,10,0,5
1,2,0,1
17,26,2,1
56,40,6,13
8,10,1,0
7,19,1,4
14,6,1,3
8,2,1,1
1,4,1,0
16,7,4,2
24,12,5,5
29,14,4,1
23,16,2,2
4,2,1,1
3,1,3,0
1,1,0,1
6,7,1,2
8,3,1,1
8,16,1,2
6,12,1,5
23,30,0,9
8,13,0,2
16,6,2,1
6,7,0,3
2,1,0,1
11,21,0,2
13,4,1,0
8,8,1,2
15,11,1,3
23,19,4,2
21,14,1,2
9,8,0,2
3,2,4,1
15,8,2,6
2,2,1,0
16,6,0,0
11,6,2,1
9,4,3,4
0,1,0,2
3,7,1,2
7,10,2,2
63,56,5,19
11,4,2,2
4,2,0,1
4,2,1,2
5,0,0,1
9,10,0,1
4,3,0,1
2,0,0,0
19,11,1,2
5,7,0,1
8,4,0,2
18,6,6,3
34,27,3,4
3,1,0,0
3,6,0,1
13,18,0,5
4,4,1,3
3,2,2,1
9,2,0,1
3,1,0,0
24,13,2,2
5,4,1,2
8,15,1,3
34,21,3,8
14,13,2,4
42,29,2,5
4,1,0,1
15,4,2,2
1,0,0,0
2,1,0,0
8,7,0,2
22,13,2,5
3,4,0,1
0,6,0,1
24,7,3,1
39,18,3,1
9,5,0,3
13,5,0,1
0,2,0,0
2,4,0,0
1,0,0,1
18,7,2,4
10,4,1,0
11,3,4,1
11,7,0,1
16,16,3,5
25,14,2,9
19,7,13,7
21,12,0,3
21,25,4,10
19,11,0,0
7,6,0,2
5,1,0,4
1,3,0,0
2,4,0,3
6,3,0,2
0,2,0,0
4,0,0,1
7,4,0,3
4,3,1,1
15,13,3,5
12,8,1,0
7,0,2,0
6,2,0,0
4,2,1,0
8,4,1,3
14,13,1,7
2,0,0,0
19,9,4,3
12,5,3,1
7,2,3,1
17,9,3,2
12,1,9,3
19,5,4,2
14,8,1,1
10,6,5,0
0,3,0,1
10,5,0,1
10,7,3,0
8,4,0,1
15,14,2,0
7,9,1,2
6,1,2,0
1,1,2,0
5,9,2,2
5,4,1,0
2,8,0,2
7,3,1,1
8,5,0,1
23,12,1,0
5,7,0,1
18,13,9,12
14,9,2,3
19,8,3,2
8,3,3,0
2,0,1,0
10,18,2,3
19,8,2,2
7,5,1,4
7,10,0,2
6,7,2,4
6,17,1,2
15,17,0,6
12,4,0,0
19,7,5,3
6,2,1,1
4,6,1,1
12,4,3,1
33,19,12,3
22,11,0,1
23,14,6,2
5,0,0,0
8,0,0,0
7,1,0,0
17,16,4,2
4,3,0,0
5,6,3,2
8,1,2,0
12,7,1,3
15,8,4,1
8,3,1,3
7,3,0,1
28,15,5,6
9,6,0,1
1,3,0,1
21,13,0,5
3,1,1,0
8,1,6,2
30,14,9,3
3,3,0,0
5,0,0,1
1,1,0,2
6,4,2,0
29,9,0,6
3,5,3,1
7,6,0,1
3,1,3,3
19,3,3,1
25,23,2,8
43,16,5,6
25,12,3,1
24,13,1,2
