ClassYear,Gender,Political,Haircut,Textbooks,CellType,CellLife,Computer,RandomNumber,HoursSlept,HoursExercise,IceCream,WorkStudy,HarryPotter,CupsCoffee,Siblings,SocialMediaAccounts,Pulse,TextMessages,BearsBees,Athletics
Junior,Nonbinary,1,15,234,Android,10,Other,3,7,0,Chocolate,250,8,3,1,2,76,17,Bees,No participation
Senior,Nonbinary,2,0,280,iPhone,9,Mac,6,5,5,Chocolate,4,8,0,2,4,102,30,Bees,Pickup
First year,Female,2,20,-999,iPhone,4,Mac,4,7.5,2,Vanilla,7,8,1,1,2,,50,Bear,Club
Junior,Female,3,40,999,iPhone,1,PC,4,7,1,Chocolate,9.5,8,0,1,2,69,20,Bear,Pickup
Senior,Female,3,40,70,iPhone,24,Mac,10,7,3,Chocolate,0,8,0,1,3,,92,Bear,No participation
Junior,Male,2,20,200,Android,1,PC,5,8.5,5,Vanilla,5,8,0,1,1,88,20,Bees,Intramural
Sophomore,Female,4,12,100,iPhone,15,Mac,7,8,1,Vanilla,10.5,2,0,0,2,88,0,Bear,Pickup
Senior,Female,2,45,90,other.smartphone,13,Mac,4,9,2.5,Vanilla,14,8,0,1,1,68,10,Bees,No participation
Junior,Female,6,40,200,iPhone,8,Mac,4,7,5,Chocolate,10,8,1,0,3,67,20,Bear,Club
Sophomore,Male,2,18,100,Android,31,PC,7,8,3,Vanilla,10,8,2,2,2,,15,Bear,Pickup
Sophomore,Female,4,0,40,Android,12,PC,7,7,10,Vanilla,5,4,6,0,2,61,5,Bear,No participation
Sophomore,Male,2,4.4,100,Android,16,Other,6,7,4,Vanilla,0,4,0,2,2,69,5,Bees,Club
Junior,Male,4,80,200,Android,4,PC,1,5,0,Chocolate,10,8,1,1,3,74,20,Bear,No participation
Senior,Male,2,6,-999,not.smartphone,70,PC,3,8,2,Vanilla,0,8,0,1,1,70,20,Bees,Pickup
Sophomore,Male,4,20,250,iPhone,7,Mac,10,8,11,Chocolate,5,8,0,1,3,55,20,Bees,Varsity
First year,Female,2,7,-999,Android,2,PC,7,7.5,"A few, depends of what counts",Chocolate,6.5,7,0,0,1,82,3,Bear,No participation
Junior,Nonbinary,2,45,170,not.smartphone,26,PC,4,8.5,4,Vanilla,12,6,2,3,1,90,6,Bees,Varsity
Senior,Female,2,20,-999,iPhone,7,Mac,7,5,4,Vanilla,0,8,1,1,2,62,10,Bear,Varsity
