name,id,survival,type,price,releaseToDate,avgRate_current,rateCount_current,avgRate_all,rateCount_all,category,catPop,size,language,langNum,ageRate,system,systemCat,device,left_trunc,censored
MORTAL KOMBAT X Warner Bros. 949701151,949701151,325,free,0,159,4,607,4.5,76090,Games,Games,904.2644415," English, Chinese, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",13,17+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Forgotten Memories: Alternate Realities Psychose Interactive Inc. 834715612,834715612,7,paid,5.99,143,4,100,4,435,Games,Games,885.0984945, English,1,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Grand Theft Auto: Vice City Rockstar Games 578448682,578448682,9,paid,2.99,1011,4.5,968,4,18147,Games,Games,881.3410196," English, French, Italian, German, Spanish, Korean, Russian, and Japanese.",8,17+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
R.B.I. Baseball 15 MLB.com 979599928,979599928,240,paid,4.99,144,3,28,3,1168,Games,Games,854.3866272, English,1,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
"Hearthstone: Heroes of Warcraft Blizzard Entertainment, Inc. 625257520",625257520,11,free,0,515,3.5,1041,4,26414,Games,Games,827.3884783,"English, Chinese, French, German, Italian, Korean, Polish, Portuguese, Russian, Spanish",10,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Injustice: Gods Among Us Warner Bros. 575658129,575658129,2,free,0,893,4.5,6181,4.5,558048,Games,Games,826.7817602," English, Chinese, French, German, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",13,12+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
The Dark Knight Rises _ Gameloft 522704697,522704697,8,paid,6.99,1150,4,631,4,6970,Games,Games,821.8074646," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",12,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Real Racing 3 Electronic Arts 556164008,556164008,67,free,0,927,4,1854,4.5,136648,Games,Games,815.7022371," English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",12,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Tales from the Borderlands Telltale Inc 934090827,934090827,7,paid,4.99,276,4,56,4,342,Games,Games,804.7527084, English,1,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Tales From Deep Space Amazon Game Studios 980307863,980307863,2,paid,3.99,80,4,50,4,50,Games,Games,802.6123571," English, Chinese, French, German, Italian, Japanese, Portuguese, Spanish",8,09+,iOS 7,med,"iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro, iPad Pro Wi-Fi + Cellular, and iPod touch (6th generation.",1,1
"Warhammer 40,000: Deathwatch - Tyranid Invasion Rodeo Games 791134629",791134629,6,paid,4.99,59,3.5,60,3.5,311,Games,Games,792.9505939,English,1,12+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
Til Morning's Light Amazon Game Studios 980286865,980286865,7,paid,6.99,115,5,88,4.5,414,Games,Games,790.3491106," English, French, German, Italian, Japanese, Portuguese, Simplified Chinese, Spanish",8,09+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
DuckTales: Remastered Disney 925209077,925209077,1,paid,9.99,164,4,14,4,80,Games,Games,781.9422607," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",11,04+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Calling All Mixels Cartoon Network 652862352,652862352,1,paid,3.99,558,4.5,781,4.5,1620,Games,Games,779.9384756," English, Arabic, Danish, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish",12,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Modern Combat 5: Blackout Gameloft 656176278,656176278,20,paid,0,416,4,2626,4.5,23899,Games,Games,765.1217995," English, Arabic, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",15,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Modern Combat 5: Blackout Gameloft 656176278,656176278,9,free,0,416,4,2639,4.5,23880,Games,Games,765.1217995," English, Arabic, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",15,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Race Team Manager Big Bit Ltd 885819965,885819965,6,free,0,407,4,10,4.5,9628,Games,Games,752.9852448," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",12,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Game of Thrones - A Telltale Games Series Telltale Inc 906862658,906862658,12,paid,4.99,283,3.5,191,3,731,Games,Games,749.870492, English,1,17+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Human Anatomy Atlas _ 3D Anatomical Model of the Human Body Visible Body 446207961,446207961,9,paid,24.99,1536,5,21,4.5,1145,Medical,other,743.1730785," English, French, German, Italian, Japanese, Simplified Chinese, Spanish",7,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Assassin's Creed Pirates Ubisoft 692717444,692717444,3,free,0,647,4,91,4.5,19606,Games,Games,743.1493196," English, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",13,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Radiation Island Atypical Games 923760656,923760656,174,paid,2.99,227,4.5,677,4.5,3507,Games,Games,733.6457691," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",10,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Halo: Spartan Strike Microsoft Corporation 940249281,940249281,6,paid,5.99,150,4,35,4.5,545,Games,Games,730.8174229,English,1,12+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
9mm Gameloft 424674035,424674035,1,paid,6.99,1522,4.5,182,4.5,4371,Games,Games,721.0686522," English, Chinese, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",11,17+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Bubble Guppies: Animal School Day Nickelodeon 567249360,567249360,6,paid,3.99,1046,3.5,20,4,128,Education,other,714.8821049, English,1,04+,iOS 6,med,"iPhone, iPad, and iPod touch.",0,1
Micromon Pocket Trend 687212362,687212362,102,paid,0.99,409,4.5,1830,4.5,7915,Games,Games,707.4819221, English,1,09+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Brothers in Arms¥ 3: Sons of War Gameloft 656124384,656124384,22,free,0,270,4.5,689,4.5,15516,Games,Games,705.6358967," English, Arabic, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",15,17+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
Oddworld: Stranger's Wrath Oddworld Inhabitants Inc 923555295,923555295,9,paid,2.99,290,4.5,141,4.5,611,Games,Games,687.1400642," English, Finnish, French, German, Italian, Polish, Portuguese, Russian, Spanish, Swedish",10,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
The Amazing Spider-Man 2 Gameloft 779561331,779561331,10,paid,6.99,513,4.5,2708,4,6976,Games,Games,668.8066483," English, Arabic, Chinese, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish",16,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
WWE 2K 2K 909349642,909349642,234,paid,7.99,150,4,226,4,956,Games,Games,662.6275139," English, French, German, Italian, Japanese, Korean, Spanish",7,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Valiant Hearts: The Great War Ubisoft 840190360,840190360,5,paid,0,374,4.5,462,4.5,3394,Games,Games,630.2294674," English, Dutch, French, German, Italian, Japanese, Polish, Portuguese, Russian, Simplified Chinese, Spanish",11,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",0,1
iMovie Apple 377298193,377298193,362,free,0,1907,3.5,225,3.5,25439,Photo & Video,Photo & Video,616.4939289," English, Arabic, Catalan, Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Polish, Portuguese, Romanian, Russian, Slovak, Spanish, Swedish, Thai, Turkish, Ukrainian, Vietnamese",32,04+,iOS 9,new,"iPhone, iPad, and iPod touch.",1,1
"Essential Anatomy 5 3D4Medical.com, LLC 596684220",596684220,12,paid,24.99,941,5,937,4.5,2026,Medical,other,614.8215437, English,1,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Battle Supremacy Atypical Games 725222149,725222149,5,paid,4.99,612,4.5,250,4,2809,Games,Games,612.0598049," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",10,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Star Wars_: Uprising Kabam 921795947,921795947,4,free,0,4,4,434,4.5,7432,Games,Games,607.5519991," English, French, German, Italian, Portuguese, Russian, Spanish, Turkish",8,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Need for Speed_ Most Wanted Electronic Arts 540925164,540925164,5,paid,4.99,1048,4,5156,4,6360,Games,Games,607.0479565," English, Chinese, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish",11,04+,iOS 4,old,"iPhone 3GS, iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, iPod touch (3rd generation, iPod touch (4th generation, iPod touch (5th generation, and iPod touch (6th generation.",1,1
Hail to the King: Deathbat Avenged Sevenfold 883491618,883491618,7,paid,4.99,332,4.5,480,4.5,589,Games,Games,602.0344973, English,1,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
GarageBand Apple 408709785,408709785,360,free,0,1648,4,420,4,21588,Music,other,599.1917286," English, Arabic, Catalan, Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian, Polish, Portuguese, Romanian, Russian, Slovak, Spanish, Swedish, Thai, Turkish, Ukrainian, Vietnamese",31,04+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
Spider: Rite of the Shrouded Moon Tiger Style 767546279,767546279,7,paid,4.99,38,4,45,4.5,106,Games,Games,587.7730474, English,1,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
CHRONO TRIGGER SQUARE ENIX INC 479431697,479431697,1,paid,9.99,1375,3.5,97,3.5,1345,Games,Games,586.5413885," English, French, German, Italian, Japanese, Korean, Simplified Chinese, Spanish, Traditional Chinese",9,09+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
