SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear
2884,20,0,32,1,14,1,3,1,0,7,1,957
6849,17,0,31,0,12,1,5,0,1,7,0,350
6482,4,0,27,0,11,1,1,0,0,5,0,765
1732,4,0,21,1,14,1,1,1,0,6,0,976
5430,17,1,27,0,12,1,5,1,1,9,1,580
6178,13,0,28,0,12,1,6,1,1,3,0,674
1404,9,0,38,0,10,0,6,1,1,11,1,906
1404,4,0,36,0,10,0,5,1,1,9.5,1,791
2032,24,0,23,0,12,0,4,0,1,11,0,308
2028,4,0,35,0,12,1,4,0,1,7,1,909
5097,1,0,25,0,12,0,2,0,1,7,0,877
1222,6,0,20,0,12,0,2,0,1,5,1,633
1222,2,0,40,0,12,0,2,0,1,3,1,312
2486,13,0,31,0,11,0,3,1,1,14,1,634
2486,8,0,30,0,11,0,4,1,1,13,1,661
2485,56,0,33,0,12,0,4,1,1,11,0,519
2485,26,1,32,0,12,0,4,1,1,13,1,798
2849,26,0,21,1,12,0,1,1,0,14,0,385
1655,2,0,34,0,10,0,6,0,1,3,1,1218
5437,6,0,26,0,12,0,4,1,1,4,1,1190
5247,26,0,25,0,11,0,4,1,1,5,0,1028
5247,30,1,25,0,11,0,4,1,1,5,0,316
1692,5,0,33,0,12,0,3,1,1,5,1,1746
5852,24,0,46,0,8,1,4,1,1,7,1,407
6358,24,1,31,1,12,1,4,1,0,8,0,453
6367,26,1,22,0,12,1,1,0,0,5,0,384
5882,13,0,32,0,12,0,3,1,1,9,1,385
1345,8,0,22,0,12,0,4,1,1,7,0,930
2526,4,0,28,0,12,0,4,0,1,5,1,936
2339,8,0,26,0,12,0,3,1,1,7,1,1200
504,5,0,39,1,12,0,3,1,0,9,1,567
504,1,0,38,1,12,0,3,1,0,7,1,354
2339,3,0,27,0,11,0,3,0,1,7,0,169
6552,26,0,47,0,10,0,1,1,0,9,1,420
6552,12,0,45,0,10,0,1,1,0,7,1,556
6553,39,0,33,1,9,1,4,1,0,7,1,682
5464,12,0,59,0,5,1,5,1,1,9,1,635
5570,1,0,24,0,12,1,3,0,1,6,0,522
315,26,0,26,0,12,0,1,1,0,12,1,1490
315,26,0,26,0,12,0,1,1,0,11,1,1265
5569,9,0,27,0,12,1,4,1,1,5,0,335
5569,8,0,22,0,12,1,2,1,1,7,0,335
215,8,0,43,0,14,0,4,1,1,5,1,396
691,18,1,20,0,12,0,1,1,0,5,0,641
1312,1,0,21,0,12,1,2,0,0,5,0,415
6478,16,0,28,0,10,1,5,0,0,7,0,360
652,1,0,47,0,9,0,3,1,1,7,1,1167
2417,5,0,47,0,11,0,5,1,1,10,1,580
2417,8,0,46,0,11,0,5,1,1,9.5,1,638
5370,26,1,21,0,12,1,3,0,0,7,0,319
5370,17,1,20,0,12,1,2,0,0,5,0,333
5634,17,0,29,0,12,1,6,1,1,7,0,938
5137,3,0,20,0,11,0,3,1,1,7,0,962
6436,24,0,25,0,10,1,8,0,1,7,0,1286
6436,98,1,28,1,9,1,4,0,0,9,0,156
2647,1,0,35,0,13,0,1,0,0,3,1,907
6161,17,0,31,0,12,1,3,1,1,6,0,432
1075,26,1,22,0,10,0,4,1,1,5,0,410
1075,39,1,21,0,10,0,4,1,1,7,0,846
7,39,0,26,0,12,0,5,0,1,8,0,606
7,52,1,25,0,12,0,5,0,1,7,0,605
2782,5,0,29,0,12,0,5,1,1,11,1,1654
129,8,0,31,0,8,0,1,0,0,10,0,542
2806,15,0,20,0,12,0,3,1,1,1,1,592
2806,1,0,20,0,12,0,2,1,1,1.5,1,257
1282,12,0,27,0,12,0,4,1,1,9,0,909
5672,24,0,28,0,12,1,1,1,0,4,0,96
5672,4,0,27,0,12,1,1,1,0,5,0,207
6167,12,0,25,0,7,1,5,1,1,11,0,532
6167,66,1,24,0,7,1,3,1,1,7,0,839
6037,22,1,26,1,12,0,3,1,0,7,0,335
2621,23,1,54,0,8,0,2,1,1,7,1,438
534,41,0,32,0,14,0,4,1,1,9.5,1,1474
2644,39,0,27,0,12,1,2,1,1,11,0,615
2678,30,0,24,0,12,0,1,1,0,7,1,853
2248,2,0,28,0,12,0,6,1,1,7,0,1217
5077,35,1,60,0,12,0,2,1,1,5,0,1470
750,2,0,21,1,12,0,1,1,0,9.5,1,924
5683,13,0,58,1,8,1,6,0,0,8,1,1389
5683,2,0,56,1,8,1,3,0,0,7,1,488
5383,18,1,22,0,10,0,3,1,1,11,0,767
2819,2,0,63,1,12,0,4,1,0,13,1,956
5324,6,0,20,0,11,0,1,0,0,6,0,562
6646,15,0,23,0,12,1,4,1,1,5,0,266
2426,13,1,53,1,12,0,1,1,0,12,1,767
2731,1,0,22,0,12,1,1,0,0,7,0,872
2731,1,0,21,0,12,1,3,0,0,7,0,887
1717,6,0,24,0,11,0,3,1,1,7,1,815
5057,102,1,32,0,14,1,5,1,1,12,1,0
6635,2,0,62,0,4,1,5,0,1,7,0,511
5904,52,1,30,0,12,1,1,0,0,7,0,0
694,1,0,25,0,12,0,3,1,1,11,1,591
694,13,0,24,0,12,0,3,1,1,7,1,448
1071,2,0,42,0,12,0,5,1,1,7,1,539
6495,10,0,32,1,14,1,1,0,0,7,0,531
6643,2,0,49,0,12,0,5,1,1,5,0,1208
6643,2,0,48,0,12,0,5,1,1,5,0,935
5830,1,0,35,1,12,1,1,0,0,5,0,715
6845,22,0,48,0,12,1,6,0,1,7,0,309
1435,3,0,27,0,15,0,1,0,0,6,0,609
1435,14,0,26,0,15,0,1,0,0,7,0,556
1114,2,0,41,1,12,0,1,0,0,13,1,157
5783,30,0,30,0,9,0,2,1,1,7,0,1152
5993,30,1,30,0,7,0,5,0,1,6,0,385
1192,4,0,46,0,12,0,3,0,1,5,1,1014
2150,2,0,47,0,8,0,3,1,1,9.5,1,1129
60,25,1,34,0,12,0,4,1,1,5,1,697
2646,20,1,30,0,13,1,3,0,0,5,1,1875
5613,1,0,29,0,12,1,5,0,1,7,1,883
1380,52,1,40,0,17,0,1,0,0,4,0,263
1380,30,1,39,0,17,0,1,1,0,5,0,375
6196,12,0,24,0,12,0,3,1,1,7,0,873
2464,20,0,49,0,10,0,2,1,1,5,1,833
217,11,0,27,0,12,1,3,1,1,11,1,362
217,14,0,26,0,12,1,3,1,1,7,1,725
6707,3,0,37,0,12,1,7,1,1,8,0,996
6707,8,0,36,0,12,1,7,1,1,7,0,1036
6208,17,1,35,0,12,1,3,1,0,7,0,883
961,2,0,48,0,8,0,5,0,1,7,1,500
5068,52,1,26,0,14,1,1,1,0,12,0,0
1079,30,0,26,0,13,0,4,1,1,7,0,1136
6846,26,1,26,1,13,1,1,1,0,5,0,462
6846,52,1,30,1,11,1,2,1,0,6,0,0
2180,1,0,34,0,17,0,5,0,1,7,1,597
2180,4,0,35,0,17,0,5,0,1,7,1,292
2246,15,0,23,0,12,0,1,1,0,4,0,684
2119,4,0,29,0,12,0,5,1,1,6,0,454
2119,26,0,28,0,12,0,6,1,1,7,0,854
6224,4,0,37,0,11,0,6,1,1,7,0,1134
6652,17,1,36,1,16,1,1,1,0,13,1,545
5739,50,0,39,0,14,1,3,0,0,3,1,139
6129,2,0,31,0,12,1,6,1,1,9.5,1,646
5363,17,1,22,0,12,1,2,1,1,6,1,2625
417,3,0,42,0,8,0,3,1,1,5,1,1081
