start,stop,AliveTVC,WinnerTVC,ID,Sex,USA,White,NameChange,Drama,Birth,Final,Alive,Films,FourStarFilms,Wins,Noms,FirstFilmYear,FirstWinYear,FirstNomYear
0,76,0,0,85,1,Yes,Yes,No,Yes,1914,1990,0,81,10,0,5,1918,NA,1949
0,73,0,0,86,1,Yes,Yes,No,Yes,1908,1981,0,69,8,0,2,1938,NA,1955
0,75,0,0,87,1,Yes,Yes,No,Yes,1908,1983,0,113,8,0,0,1941,NA,NA
0,24,1,0,88,0,No,Yes,Yes,No,1929,1993,0,30,11,1,5,1951,1953,1953
24,64,0,1,88,0,No,Yes,Yes,No,1929,1993,0,30,11,1,5,1951,1953,1953
0,83,1,0,89,0,Yes,Yes,No,Yes,1918,2001,1,47,7,0,0,1944,NA,NA
0,68,0,0,90,0,Yes,Yes,No,Yes,1922,1990,0,72,10,0,1,1941,NA,1953
0,67,0,0,91,0,No,Yes,No,Yes,1923,1990,0,18,4,0,0,1956,NA,NA
0,73,1,0,92,1,Yes,Yes,No,No,1928,2001,1,16,2,0,0,1962,NA,NA
0,52,1,0,93,1,Yes,Yes,Yes,No,1949,2001,1,17,3,0,0,1982,NA,NA
0,70,1,0,94,0,Yes,Yes,Yes,Yes,1931,2001,1,31,6,0,1,1956,NA,1979
0,63,0,0,95,0,Yes,Yes,No,Yes,1927,1990,0,15,5,0,0,1954,NA,NA
0,79,1,0,96,0,Yes,Yes,No,Yes,1922,2001,1,15,4,0,1,1947,NA,1948
0,79,1,0,97,0,Yes,Yes,No,No,1922,2001,1,71,5,0,0,1943,NA,NA
0,66,1,0,98,0,Yes,Yes,Yes,No,1935,2001,1,29,5,0,1,1965,NA,1971
0,53,1,0,99,0,Yes,Yes,Yes,Yes,1948,2001,1,57,8,0,1,1968,NA,1969
0,58,1,0,100,0,Yes,Yes,No,Yes,1943,2001,1,4,0,0,0,1968,NA,NA
0,71,0,0,101,0,Yes,Yes,No,Yes,1909,1980,0,17,4,0,1,1937,NA,1937
0,54,1,0,102,0,No,Yes,No,No,1947,2001,1,19,2,0,0,1968,NA,NA
0,83,0,0,103,0,Yes,Yes,Yes,Yes,1907,1990,0,95,11,0,4,1927,NA,1937
0,26,1,0,104,0,Yes,Yes,No,Yes,1942,2001,1,30,7,1,2,1963,1968,1968
26,59,1,1,104,0,Yes,Yes,No,Yes,1942,2001,1,30,7,1,2,1963,1968,1968
0,77,1,0,105,0,No,Yes,No,Yes,1924,2001,1,7,1,0,0,1944,NA,NA
0,67,1,0,106,1,Yes,Yes,No,Yes,1934,2001,1,18,1,0,0,1955,NA,NA
0,56,1,0,107,1,No,Yes,Yes,Yes,1888,1961,0,44,8,1,2,1930,1944,1944
56,73,0,1,107,1,No,Yes,Yes,Yes,1888,1961,0,44,8,1,2,1930,1944,1944
0,77,0,0,108,1,Yes,Yes,No,Yes,1894,1971,0,21,8,0,0,1923,NA,NA
0,43,1,0,109,1,Yes,Yes,No,Yes,1958,2001,1,16,5,0,0,1975,NA,NA
0,81,1,0,110,1,Yes,Yes,Yes,Yes,1920,2001,1,35,3,0,0,1941,NA,NA
0,63,1,0,111,1,Yes,Yes,No,Yes,1938,2001,1,45,2,0,0,1968,NA,NA
0,82,0,0,112,1,Yes,Yes,Yes,Yes,1912,1994,0,104,7,0,0,1943,NA,NA
0,59,0,0,113,1,Yes,Yes,No,Yes,1937,1996,0,36,3,0,0,1968,NA,NA
0,75,0,0,114,1,No,Yes,No,Yes,1892,1967,0,103,22,0,2,1921,NA,1936
0,74,0,0,115,0,Yes,No,No,Yes,1926,2000,0,29,8,0,1,1959,NA,1967
0,58,1,0,116,0,Yes,Yes,No,Yes,1918,2001,1,26,5,1,1,1951,1976,1976
58,83,1,1,116,0,Yes,Yes,No,Yes,1918,2001,1,26,5,1,1,1951,1976,1976
0,25,1,0,117,0,Yes,Yes,No,Yes,1976,2001,1,1,0,0,0,1984,NA,NA
0,41,0,0,118,0,Yes,Yes,No,Yes,1891,1932,0,35,3,0,0,1916,NA,NA
0,29,1,0,119,1,Yes,Yes,No,Yes,1972,2001,1,12,3,0,0,1987,NA,NA
0,53,1,0,120,1,Yes,Yes,No,No,1918,1996,0,79,16,1,1,1943,1971,1953
53,78,0,1,120,1,Yes,Yes,No,No,1918,1996,0,79,16,1,1,1943,1971,1953
0,39,1,0,121,1,No,Yes,No,Yes,1943,2001,1,37,8,1,2,1973,1982,1982
39,58,1,1,121,1,No,Yes,No,Yes,1943,2001,1,37,8,1,2,1973,1982,1982
0,74,0,0,122,1,Yes,Yes,No,Yes,1915,1989,0,47,10,0,0,1936,NA,NA
0,80,0,0,123,1,Yes,Yes,No,Yes,1900,1980,0,29,5,0,0,1937,NA,NA
0,71,0,0,124,1,Yes,No,No,Yes,1916,1987,0,55,4,0,0,1936,NA,NA
0,63,1,0,125,1,No,Yes,No,Yes,1938,2001,1,15,2,0,0,1957,NA,NA
0,80,0,0,126,1,Yes,Yes,No,No,1891,1971,0,131,10,0,0,1921,NA,NA
0,84,0,0,127,0,Yes,Yes,No,No,1900,1984,0,166,31,0,0,1923,NA,NA
0,88,0,0,128,0,Yes,Yes,Yes,Yes,1898,1986,0,98,9,0,1,1915,NA,1929
0,49,1,0,129,0,Yes,Yes,No,Yes,1952,2001,1,6,0,0,0,1984,NA,NA
0,78,1,0,130,0,Yes,Yes,Yes,Yes,1923,2001,1,22,6,0,1,1947,NA,1955
0,72,1,0,131,0,Yes,Yes,No,Yes,1929,2001,1,19,3,0,0,1953,NA,NA
0,27,1,0,132,0,Yes,Yes,No,Yes,1908,1989,0,122,26,2,11,1931,1935,1934
27,81,0,1,132,0,Yes,Yes,No,Yes,1908,1989,0,122,26,2,11,1931,1935,1934
0,56,1,0,133,0,Yes,Yes,No,No,1945,2001,1,31,3,0,2,1966,NA,1979
0,79,0,0,134,0,Yes,Yes,No,Yes,1893,1972,0,90,9,0,0,1918,NA,NA
0,77,0,0,135,0,Yes,Yes,No,Yes,1897,1974,0,108,4,0,1,1916,NA,1929
0,55,0,0,136,0,Yes,Yes,No,Yes,1918,1973,0,22,9,0,0,1939,NA,NA
0,63,1,0,137,0,Yes,Yes,No,Yes,1938,2001,1,4,0,0,0,1956,NA,NA
0,93,0,0,138,0,Yes,Yes,No,Yes,1888,1981,0,66,14,0,2,1931,NA,1936
